dateTime,open,high,low,close,adjClose,vol,openInterest
1263823200000,1.43727,1.43768,1.43671,1.43753,1.43753,1537,0
1263826800000,1.43754,1.43915,1.43721,1.43880,1.43880,1376,0
1263830400000,1.43879,1.43973,1.43812,1.43840,1.43840,1691,0
1263834000000,1.43841,1.43922,1.43781,1.43903,1.43903,1288,0
1263837600000,1.43906,1.43981,1.43858,1.43957,1.43957,1044,0
1263841200000,1.43946,1.43995,1.43904,1.43926,1.43926,970,0
1263844800000,1.43927,1.43935,1.43830,1.43893,1.43893,731,0
1263848400000,1.43892,1.43896,1.43791,1.43802,1.43802,540,0
1263852000000,1.43799,1.43883,1.43779,1.43825,1.43825,746,0
1263855600000,1.43829,1.43933,1.43794,1.43872,1.43872,691,0
1263859200000,1.43881,1.44078,1.43875,1.44034,1.44034,1446,0
1263862800000,1.44032,1.44131,1.43901,1.44008,1.44008,1842,0
1263866400000,1.44003,1.44102,1.43931,1.44028,1.44028,1319,0
1263870000000,1.44024,1.44038,1.43883,1.43888,1.43888,1381,0
1263873600000,1.43889,1.43978,1.43849,1.43971,1.43971,1353,0
1263877200000,1.43972,1.43994,1.43883,1.43922,1.43922,1226,0
1263880800000,1.43921,1.43959,1.43843,1.43912,1.43912,1444,0
1263884400000,1.43913,1.44075,1.43908,1.43933,1.43933,1355,0
1263888000000,1.43931,1.44111,1.43922,1.44048,1.44048,2050,0
1263891600000,1.44049,1.44052,1.43902,1.43957,1.43957,2406,0
1263895200000,1.43960,1.43964,1.43482,1.43485,1.43485,2782,0
1263898800000,1.43488,1.43502,1.43091,1.43110,1.43110,3274,0
1263902400000,1.43109,1.43177,1.42903,1.42990,1.42990,3177,0
1263906000000,1.42991,1.43093,1.42640,1.42725,1.42725,3426,0
1263909600000,1.42727,1.42969,1.42631,1.42822,1.42822,3130,0
1263913200000,1.42820,1.43058,1.42645,1.42920,1.42920,3718,0
1263916800000,1.42921,1.42979,1.42746,1.42810,1.42810,2976,0
1263920400000,1.42818,1.42858,1.42527,1.42675,1.42675,3040,0
1263924000000,1.42677,1.42939,1.42668,1.42918,1.42918,1869,0
1263927600000,1.42922,1.42950,1.42791,1.42904,1.42904,1434,0
1263931200000,1.42901,1.42956,1.42850,1.42918,1.42918,1441,0
1263934800000,1.42919,1.43046,1.42912,1.43012,1.43012,1137,0
1263938400000,1.43010,1.43026,1.42816,1.42870,1.42870,1295,0
1263942000000,1.42872,1.42942,1.42851,1.42869,1.42869,624,0
1263945600000,1.42869,1.42890,1.42659,1.42814,1.42814,1759,0
1263949200000,1.42815,1.42884,1.42711,1.42872,1.42872,1441,0
1263952800000,1.42873,1.42873,1.42107,1.42130,1.42130,3363,0
1263956400000,1.42128,1.42235,1.41907,1.42188,1.42188,2744,0
1263960000000,1.42190,1.42269,1.41981,1.42143,1.42143,2040,0
1263963600000,1.42145,1.42146,1.41969,1.42130,1.42130,1615,0
1263967200000,1.42131,1.42131,1.41714,1.41857,1.41857,2606,0
1263970800000,1.41861,1.42075,1.41853,1.42046,1.42046,2215,0
1263974400000,1.42042,1.42101,1.41843,1.41946,1.41946,3146,0
1263978000000,1.41937,1.42010,1.41757,1.41999,1.41999,2835,0
1263981600000,1.41998,1.42188,1.41852,1.41865,1.41865,2881,0
1263985200000,1.41866,1.41926,1.41691,1.41777,1.41777,2716,0
1263988800000,1.41773,1.41773,1.41429,1.41457,1.41457,3015,0
1263992400000,1.41460,1.41520,1.41314,1.41397,1.41397,3160,0
1263996000000,1.41400,1.41459,1.41266,1.41384,1.41384,3276,0
1263999600000,1.41382,1.41411,1.41184,1.41325,1.41325,3371,0
1264003200000,1.41326,1.41337,1.41068,1.41151,1.41151,3451,0
1264006800000,1.41152,1.41160,1.40899,1.40923,1.40923,2794,0
1264010400000,1.40922,1.41153,1.40818,1.41112,1.41112,2100,0
1264014000000,1.41110,1.41110,1.41009,1.41028,1.41028,1524,0
1264017600000,1.41029,1.41113,1.40970,1.41066,1.41066,1448,0
1264021200000,1.41066,1.41080,1.40986,1.41014,1.41014,935,0
1264024800000,1.41012,1.41055,1.40968,1.41048,1.41048,1115,0
1264028400000,1.41047,1.41109,1.40945,1.41062,1.41062,1014,0
1264032000000,1.41062,1.41133,1.41005,1.41129,1.41129,1014,0
1264035600000,1.41128,1.41252,1.41085,1.41183,1.41183,1563,0
1264039200000,1.41182,1.41354,1.41014,1.41015,1.41015,2191,0
1264042800000,1.41014,1.41098,1.40748,1.40817,1.40817,2838,0
1264046400000,1.40815,1.40971,1.40742,1.40910,1.40910,1715,0
1264050000000,1.40906,1.41021,1.40871,1.40953,1.40953,1272,0
1264053600000,1.40955,1.41003,1.40859,1.40933,1.40933,1284,0
1264057200000,1.40932,1.41158,1.40889,1.41145,1.41145,1999,0
1264060800000,1.41147,1.41186,1.40777,1.40876,1.40876,2656,0
1264064400000,1.40871,1.40989,1.40762,1.40772,1.40772,2871,0
1264068000000,1.40774,1.40790,1.40445,1.40531,1.40531,3391,0
1264071600000,1.40536,1.40630,1.40285,1.40402,1.40402,2957,0
1264075200000,1.40404,1.40635,1.40344,1.40629,1.40629,2878,0
1264078800000,1.40630,1.40869,1.40628,1.40767,1.40767,2696,0
1264082400000,1.40768,1.40927,1.40629,1.40758,1.40758,3206,0
1264086000000,1.40759,1.41068,1.40758,1.40955,1.40955,3309,0
1264089600000,1.40957,1.41107,1.40413,1.40537,1.40537,4146,0
1264093200000,1.40538,1.41343,1.40316,1.41057,1.41057,4241,0
1264096800000,1.41059,1.41415,1.40829,1.40996,1.40996,3431,0
1264100400000,1.41001,1.41201,1.40893,1.41167,1.41167,2257,0
1264104000000,1.41166,1.41174,1.40883,1.41030,1.41030,1961,0
1264107600000,1.41035,1.41046,1.40870,1.40932,1.40932,1629,0
1264111200000,1.40933,1.40964,1.40786,1.40830,1.40830,1393,0
1264114800000,1.40832,1.40928,1.40786,1.40837,1.40837,1101,0
1264118400000,1.40833,1.41030,1.40662,1.40981,1.40981,1702,0
1264122000000,1.40979,1.41102,1.40861,1.41062,1.41062,1958,0
1264125600000,1.41066,1.41375,1.40891,1.41330,1.41330,2416,0
1264129200000,1.41332,1.41375,1.41238,1.41324,1.41324,1883,0
1264132800000,1.41325,1.41351,1.41125,1.41221,1.41221,1534,0
1264136400000,1.41220,1.41274,1.41158,1.41225,1.41225,1208,0
1264140000000,1.41226,1.41315,1.41161,1.41263,1.41263,1335,0
1264143600000,1.41266,1.41414,1.41176,1.41195,1.41195,1916,0
1264147200000,1.41196,1.41567,1.41160,1.41494,1.41494,2820,0
1264150800000,1.41493,1.41518,1.41283,1.41384,1.41384,2485,0
1264154400000,1.41385,1.41648,1.41292,1.41600,1.41600,2666,0
1264158000000,1.41596,1.41638,1.41370,1.41426,1.41426,2295,0
1264161600000,1.41428,1.41461,1.41049,1.41110,1.41110,2514,0
1264165200000,1.41109,1.41411,1.41088,1.41165,1.41165,2583,0
1264168800000,1.41168,1.41382,1.41043,1.41061,1.41061,3080,0
1264172400000,1.41060,1.41347,1.41004,1.41144,1.41144,3861,0
1264176000000,1.41147,1.41317,1.40942,1.41276,1.41276,3810,0
1264179600000,1.41277,1.41669,1.41271,1.41534,1.41534,3890,0
1264183200000,1.41528,1.41807,1.41524,1.41533,1.41533,2580,0
1264186800000,1.41530,1.41687,1.41479,1.41493,1.41493,1999,0
1264190400000,1.41492,1.41558,1.41347,1.41353,1.41353,1966,0
1264194000000,1.41356,1.41422,1.41238,1.41406,1.41406,2097,0
1264197600000,1.41407,1.41440,1.41280,1.41363,1.41363,1069,0
1264377600000,1.41523,1.41724,1.41488,1.41536,1.41536,1313,0
1264381200000,1.41540,1.41624,1.41416,1.41476,1.41476,1487,0
1264384800000,1.41475,1.41612,1.41338,1.41543,1.41543,1329,0
1264388400000,1.41541,1.41733,1.41496,1.41651,1.41651,1355,0
1264392000000,1.41650,1.41656,1.41523,1.41541,1.41541,1040,0
1264395600000,1.41542,1.41703,1.41528,1.41665,1.41665,1210,0
1264399200000,1.41663,1.41679,1.41573,1.41601,1.41601,982,0
1264402800000,1.41602,1.41687,1.41553,1.41596,1.41596,1273,0
1264406400000,1.41592,1.41654,1.41361,1.41502,1.41502,2216,0
1264410000000,1.41504,1.41565,1.41301,1.41513,1.41513,2492,0
1264413600000,1.41514,1.41563,1.41342,1.41491,1.41491,2240,0
1264417200000,1.41488,1.41918,1.41468,1.41911,1.41911,2362,0
1264420800000,1.41915,1.41938,1.41728,1.41737,1.41737,1924,0
1264424400000,1.41739,1.41770,1.41553,1.41571,1.41571,1858,0
1264428000000,1.41573,1.41648,1.41315,1.41424,1.41424,2772,0
1264431600000,1.41423,1.41588,1.41407,1.41529,1.41529,2973,0
1264435200000,1.41537,1.41574,1.41278,1.41546,1.41546,3596,0
1264438800000,1.41542,1.41543,1.41336,1.41433,1.41433,2860,0
1264442400000,1.41432,1.41512,1.41412,1.41478,1.41478,1707,0
1264446000000,1.41473,1.41508,1.41417,1.41432,1.41432,1255,0
1264449600000,1.41431,1.41547,1.41393,1.41514,1.41514,1291,0
1264453200000,1.41516,1.41625,1.41500,1.41527,1.41527,1445,0
1264456800000,1.41526,1.41544,1.41460,1.41502,1.41502,967,0
1264460400000,1.41505,1.41559,1.41446,1.41481,1.41481,619,0
1264464000000,1.41476,1.41573,1.41464,1.41469,1.41469,560,0
1264467600000,1.41468,1.41706,1.41462,1.41653,1.41653,1293,0
1264471200000,1.41652,1.41784,1.41618,1.41712,1.41712,1443,0
1264474800000,1.41709,1.41713,1.41349,1.41400,1.41400,1599,0
